No.,名称,☆,タイプ1,タイプ2,主属性,副属性,HP,攻撃,回復,コスト,スキル,リーダースキル,覚醒数,ギガグラ,最大Lv,,最大HP,最大攻撃,最大回復,HP指数,攻撃指数,回復指数,覚醒スキル1,覚醒スキル2,覚醒スキル3,覚醒スキル4,覚醒スキル5,覚醒スキル6,覚醒スキル7,覚醒スキル8,覚醒スキル9,,
10,ブラッキオ,3,ドラゴン,,木,,134,53,20,4,ウィンドブレス,木の力,0,,15 ,,555,208,75,1.0,1.0,1.0,,,,,,,,,,,
11,ブラキオス,4,ドラゴン,,木,,444,187,68,6,ガイアブレス,木の力,0,,35 ,,1015,464,140,1.0,1.0,1.0,,,,,,,,,,,
12,大花龍ブラキオス,5,ドラゴン,,木,,812,418,126,10,ガイアブレス,大地の力,3,,99 ,,2228,1031,286,1.0,1.0,1.0,HP強化,攻撃強化,スキルブースト,,,,,,,,
13,プテーラ,2,ドラゴン,,光,,47,52,9,2,フラッシュブレス,光の力,0,,5 ,,138,65,15,1.0,1.0,1.0,,,,,,,,,,,
14,プテラス,3,ドラゴン,,光,,110,59,14,4,フラッシュブレス,光の力,0,,15 ,,460,221,55,1.0,1.0,1.0,,,,,,,,,,,
15,プテラドス,4,ドラゴン,,光,,368,199,50,6,ホーリーブレス,光の力,0,,35 ,,928,486,117,1.0,1.0,1.0,,,,,,,,,,,
16,太陽龍プテラドス,5,ドラゴン,,光,,742,437,105,10,ホーリーブレス,閃光の力,3,,99 ,,2063,1073,253,1.0,1.0,1.0,HP強化,攻撃強化,スキルブースト,,,,,,,,
17,スピノン,2,ドラゴン,,闇,,42,62,7,2,ダークブレス,闇の力,0,,5 ,,129,78,12,1.0,1.0,1.0,,,,,,,,,,,
18,スピナス,3,ドラゴン,,闇,,103,70,11,4,ダークブレス,闇の力,0,,15 ,,447,236,45,1.0,1.0,1.0,,,,,,,,,,,
19,デスピナス,4,ドラゴン,,闇,,358,212,41,6,ヘルブレス,闇の力,0,,35 ,,954,499,105,1.0,1.0,1.0,,,,,,,,,,,
20,月光龍デスピナス,5,ドラゴン,,闇,,763,449,95,10,ヘルブレス,暗黒の力,3,,99 ,,2112,1097,220,1.0,1.0,1.0,HP強化,攻撃強化,スキルブースト,,,,,,,,
21,レッドコドラ,2,ドラゴン,,火,,32,40,9,2,ヒートボール,なし,0,,15 ,,240,150,45,1.0,1.0,1.0,,,,,,,,,,,
22,レッドドラゴン,3,ドラゴン,,火,,192,135,41,5,ヒートボール,火の守り,0,,25 ,,545,300,92,1.0,1.0,1.0,,,,,,,,,,,
23,ボルケーノドラゴン,4,ドラゴン,,火,,436,270,83,11,ファイアボール,火の守り,0,,70 ,,1412,1056,93,1.0,1.0,1.0,,,,,,,,,,,
24,ブルーコドラ,2,ドラゴン,,水,,42,32,9,2,コールドボール,なし,0,,15 ,,315,120,45,1.0,1.0,1.0,,,,,,,,,,,
25,ブルードラゴン,3,ドラゴン,,水,,252,108,41,5,コールドボール,水の守り,0,,25 ,,625,272,92,1.0,1.0,1.0,,,,,,,,,,,
26,オーロラドラゴン,4,ドラゴン,,水,,500,245,83,11,アイスボール,水の守り,0,,70 ,,1528,1003,101,1.0,1.0,1.0,,,,,,,,,,,
27,グリーンコドラ,2,ドラゴン,,木,,40,37,10,2,ウィンドボール,なし,0,,15 ,,300,139,50,1.0,1.0,1.0,,,,,,,,,,,
28,グリーンドラゴン,3,ドラゴン,,木,,240,125,45,5,ウィンドボール,木の守り,0,,25 ,,600,291,100,1.0,1.0,1.0,,,,,,,,,,,
29,アースドラゴン,4,ドラゴン,,木,,480,262,90,11,アースボール,木の守り,0,,70 ,,1505,1015,109,1.0,1.0,1.0,,,,,,,,,,,
30,ホワイトコドラ,2,ドラゴン,,光,,34,34,11,2,フラッシュボール,なし,0,,15 ,,255,128,55,1.0,1.0,1.0,,,,,,,,,,,
31,ホワイトドラゴン,3,ドラゴン,,光,,204,115,50,5,フラッシュボール,光の守り,0,,25 ,,556,283,108,1.0,1.0,1.0,,,,,,,,,,,
32,ホーリードラゴン,4,ドラゴン,,光,,445,255,97,11,サンダーボール,光の守り,0,,70 ,,1447,1027,117,1.0,1.0,1.0,,,,,,,,,,,
33,ブラックコドラ,2,ドラゴン,,闇,,37,42,9,2,ダークボール,なし,0,,15 ,,278,158,45,1.0,1.0,1.0,,,,,,,,,,,
34,ブラックドラゴン,3,ドラゴン,,闇,,222,142,41,5,ダークボール,闇の守り,0,,25 ,,563,313,92,1.0,1.0,1.0,,,,,,,,,,,
35,デビルドラゴン,4,ドラゴン,,闇,,450,282,83,11,カオスボール,闇の守り,0,,70 ,,1470,1044,86,1.0,1.0,1.0,,,,,,,,,,,
36,ホノりん,1,バランス,,火,,39,42,9,1,なし,なし,0,,10 ,,195,105,30,0.7,0.7,0.7,,,,,,,,,,,
37,デカホノりん,2,バランス,,火,,156,95,27,3,攻撃態勢・火,なし,0,,30 ,,480,323,50,0.7,0.7,0.7,,,,,,,,,,,
38,アワりん,1,バランス,,水,,43,37,9,1,なし,なし,0,,10 ,,215,93,30,0.7,0.7,0.7,,,,,,,,,,,
39,デカアワりん,2,バランス,,水,,172,84,27,3,防御態勢・水,なし,0,,30 ,,518,296,55,0.7,0.7,0.7,,,,,,,,,,,
40,モリりん,1,バランス,,木,,41,36,11,1,なし,なし,0,,10 ,,205,90,37,0.7,0.7,0.7,,,,,,,,,,,
41,デカモリりん,2,バランス,,木,,168,81,33,3,ドロップリフレッシュ,なし,0,,30 ,,503,311,65,0.7,0.7,0.7,,,,,,,,,,,
42,ヒカりん,1,バランス,,光,,39,39,10,1,なし,なし,0,,10 ,,195,98,33,0.7,0.7,0.7,,,,,,,,,,,
43,デカヒカりん,2,バランス,,光,,156,88,30,3,防御態勢・光,なし,0,,30 ,,488,304,60,0.7,0.7,0.7,,,,,,,,,,,
44,ワルりん,1,バランス,,闇,,41,43,8,1,なし,なし,0,,10 ,,205,108,27,0.7,0.7,0.7,,,,,,,,,,,
45,デカワルりん,2,バランス,,闇,,164,97,24,3,攻撃態勢・闇,なし,0,,30 ,,503,319,45,0.7,0.7,0.7,,,,,,,,,,,
46,レッドカーバンクル,1,回復,,火,,36,24,25,2,癒しの光,なし,0,,10 ,,180,60,83,0.7,0.7,0.7,,,,,,,,,,,
47,ルビーカーバンクル,2,回復,,火,,144,54,75,5,回復の光,なし,0,,30 ,,315,139,175,0.7,0.7,0.7,,,,,,,,,,,
48,ブルーカーバンクル,1,回復,,水,,36,22,27,2,癒しの光,なし,0,,10 ,,182,55,85,0.7,0.7,0.7,,,,,,,,,,,
49,サファイアカーバンクル,2,回復,,水,,146,50,77,5,回復の光,なし,0,,30 ,,308,135,185,0.7,0.7,0.7,,,,,,,,,,,
50,グリーンカーバンクル,1,回復,,木,,35,22,26,2,癒しの光,なし,0,,10 ,,175,55,87,0.7,0.7,0.7,,,,,,,,,,,
51,エメラルドカーバンクル,2,回復,,木,,140,50,78,5,回復の光,なし,0,,30 ,,308,135,180,0.7,0.7,0.7,,,,,,,,,,,
52,イエローカーバンクル,1,回復,,光,,34,21,27,2,癒しの光,なし,0,,10 ,,170,53,90,0.7,0.7,0.7,,,,,,,,,,,
53,トパーズカーバンクル,2,回復,,光,,136,48,81,5,回復の光,なし,0,,30 ,,300,131,190,0.7,0.7,0.7,,,,,,,,,,,
54,パープルカーバンクル,1,回復,,闇,,35,25,24,2,癒しの光,なし,0,,10 ,,173,63,80,0.7,0.7,0.7,,,,,,,,,,,
55,アメジストカーバンクル,2,回復,,闇,,138,57,72,5,回復の光,なし,0,,30 ,,293,146,170,0.7,0.7,0.7,,,,,,,,,,,
56,レッドゴブリン,1,攻撃,,火,,62,62,5,2,なし,なし,0,,10 ,,310,155,17,1.0,1.0,1.0,,,,,,,,,,,
57,武者ゴブリン,2,攻撃,,火,,248,140,15,5,攻撃態勢・火,なし,0,,30 ,,600,525,35,1.0,1.0,1.0,,,,,,,,,,,
58,ブルーゴブリン,1,攻撃,,水,,67,57,4,2,なし,なし,0,,10 ,,335,143,13,1.0,1.0,1.0,,,,,,,,,,,
59,マリンゴブリン,2,攻撃,,水,,268,129,12,5,防御態勢・水,なし,0,,30 ,,638,518,30,1.0,1.0,1.0,,,,,,,,,,,
60,ゴブリン,1,攻撃,,木,,65,59,3,2,なし,なし,0,,10 ,,325,148,10,1.0,1.0,1.0,,,,,,,,,,,
61,ホブゴブリン,2,攻撃,,木,,260,133,9,5,ドロップリフレッシュ,なし,0,,30 ,,623,506,25,1.0,1.0,1.0,,,,,,,,,,,
62,レッドオーガ,2,体力,,火,,84,84,1,4,なし,根性,0,,15 ,,630,315,5,1.0,1.0,1.0,,,,,,,,,,,
63,サムライオーガ,3,体力,,火,,504,284,5,7,なし,根性,2,,50 ,,1775,888,8,1.0,1.0,1.0,スキルブースト,スキルブースト,,,,,,,,,
64,ブルーオーガ,2,体力,,水,,83,82,1,4,なし,根性,0,,15 ,,623,308,5,1.0,1.0,1.0,,,,,,,,,,,
65,アイスオーガ,3,体力,,水,,498,277,5,7,なし,根性,2,,50 ,,1900,875,8,1.0,1.0,1.0,スキルブースト,スキルブースト,,,,,,,,,
66,オーガ,2,体力,,木,,82,79,1,4,なし,根性,0,,15 ,,615,296,5,1.0,1.0,1.0,,,,,,,,,,,
67,アーマーオーガ,3,体力,,木,,492,266,5,7,なし,根性,2,,50 ,,1838,856,8,1.0,1.0,1.0,スキルブースト,スキルブースト,,,,,,,,,
68,フレイムファイター,2,バランス,,火,,44,48,8,3,ガードブレイク,なし,0,,15 ,,330,180,40,0.7,0.7,0.7,,,,,,,,,,,
69,フレイムナイト,3,バランス,,火,,264,162,36,6,ガードブレイク,なし,0,,50 ,,838,444,100,0.7,0.7,0.7,,,,,,,,,,,
70,アクアファイター,2,バランス,,水,,48,44,9,3,ガードブレイク,なし,0,,15 ,,360,165,45,0.7,0.7,0.7,,,,,,,,,,,
71,アクアナイト,3,バランス,,水,,288,149,41,6,ガードブレイク,なし,0,,50 ,,888,400,117,0.7,0.7,0.7,,,,,,,,,,,
72,アースファイター,2,バランス,,木,,46,47,9,3,ガードブレイク,なし,0,,15 ,,345,176,45,0.7,0.7,0.7,,,,,,,,,,,
73,アースナイト,3,バランス,,木,,276,158,41,6,ガードブレイク,なし,0,,50 ,,863,413,108,0.7,0.7,0.7,,,,,,,,,,,
74,ホワイトファイター,2,バランス,,光,,46,45,10,3,ガードブレイク,なし,0,,15 ,,345,169,50,0.7,0.7,0.7,,,,,,,,,,,
75,ホワイトナイト,3,バランス,,光,,276,152,45,6,ガードブレイク,なし,0,,50 ,,813,406,117,0.7,0.7,0.7,,,,,,,,,,,
76,ブラックファイター,2,バランス,,闇,,45,46,8,3,ガードブレイク,なし,0,,15 ,,338,173,40,0.7,0.7,0.7,,,,,,,,,,,
77,ブラックナイト,3,バランス,,闇,,270,156,36,6,ガードブレイク,なし,0,,50 ,,875,419,100,0.7,0.7,0.7,,,,,,,,,,,
78,フレイムゴーレム,3,体力,,火,,131,101,8,6,防御の構え,守りの心得,0,,25 ,,819,316,33,1.0,1.0,1.0,,,,,,,,,,,
79,フレイムガーディアン,4,体力,,火,,655,284,30,9,防御の構え,守りの心得,0,,70 ,,2555,782,54,1.0,1.0,1.0,,,,,,,,,,,
80,アイスゴーレム,3,体力,,水,,132,96,9,6,防御の構え,守りの心得,0,,25 ,,825,300,38,1.0,1.0,1.0,,,,,,,,,,,
81,アイスガーディアン,4,体力,,水,,660,270,34,9,防御の構え,守りの心得,0,,70 ,,2672,723,54,1.0,1.0,1.0,,,,,,,,,,,
82,アースゴーレム,3,体力,,木,,133,99,9,6,防御の構え,守りの心得,0,,25 ,,831,309,38,1.0,1.0,1.0,,,,,,,,,,,
83,アースガーディアン,4,体力,,木,,665,278,34,9,防御の構え,守りの心得,0,,70 ,,2613,753,54,1.0,1.0,1.0,,,,,,,,,,,
84,マシンゴーレム,3,体力,,光,,111,111,7,6,アーマーブレイク,守りの心得,0,,25 ,,694,347,29,1.0,1.0,1.0,,,,,,,,,,,
85,マシンゴーレムMk-II,4,体力,,光,,555,312,26,9,アーマーブレイク,守りの心得,0,,70 ,,2030,928,70,1.0,1.0,1.0,,,,,,,,,,,
86,ダークゴーレム,3,体力,,闇,,106,116,7,6,アーマーブレイク,守りの心得,0,,25 ,,663,363,29,1.0,1.0,1.0,,,,,,,,,,,
87,ダークゴーレムMk-II,4,体力,,闇,,530,327,26,9,アーマーブレイク,守りの心得,0,,70 ,,1972,957,70,1.0,1.0,1.0,,,,,,,,,,,
88,ナーガ,3,回復,,火,,21,39,31,5,威嚇,業火,0,,25 ,,263,244,258,0.7,0.7,0.7,,,,,,,,,,,
89,エキドナ,4,回復,,火,,210,220,232,8,威嚇,業火,0,,70 ,,840,502,451,0.7,0.7,0.7,,,,,,,,,,,
90,マーメイド,3,回復,,水,,25,32,33,5,防御態勢・水,癒しの唄,0,,25 ,,313,200,275,0.7,0.7,0.7,,,,,,,,,,,
91,セイレーン,4,回復,,水,,250,180,248,8,防御態勢・水,癒しの唄,0,,70 ,,863,484,513,0.7,0.7,0.7,,,,,,,,,,,
92,ドリヤード,3,回復,,木,,22,35,32,5,キュアー,癒しの祈り,0,,25 ,,275,219,267,0.7,0.7,0.7,,,,,,,,,,,
93,アルラウネ,4,回復,,木,,220,197,240,8,キュアー,癒しの祈り,0,,70 ,,805,490,498,0.7,0.7,0.7,,,,,,,,,,,
94,キューピッド,3,回復,,光,,22,28,34,5,ヒール,癒しの唄,0,,25 ,,275,175,283,0.7,0.7,0.7,,,,,,,,,,,
95,エンジェル,4,回復,,光,,220,158,255,8,ヒール,癒しの唄,0,,70 ,,817,461,529,0.7,0.7,0.7,,,,,,,,,,,
96,サキュバス,3,回復,,闇,,23,42,30,5,毒の霧,クイック,0,,25 ,,288,263,250,0.7,0.7,0.7,,,,,,,,,,,
97,リリス,4,回復,,闇,,230,237,225,8,毒の霧,クイック,0,,70 ,,840,525,443,0.7,0.7,0.7,,,,,,,,,,,
98,炎の魔剣士,3,バランス,,火,,52,62,15,6,ドロップ変化・火,火の守り,0,,25 ,,650,388,125,1.0,1.0,1.0,,,,,,,,,,,
99,フェニックスナイト,4,バランス,,火,,520,349,113,9,ドロップ変化・火,火の守り,0,,70 ,,1330,869,288,1.0,1.0,1.0,,,,,,,,,,,
100,氷の魔剣士,3,バランス,,水,,51,66,12,6,ドロップ変化・水,水の守り,0,,25 ,,638,413,100,1.0,1.0,1.0,,,,,,,,,,,
101,フェンリルナイト,4,バランス,,水,,510,372,90,9,ドロップ変化・水,水の守り,0,,70 ,,1213,928,241,1.0,1.0,1.0,,,,,,,,,,,
102,岩の魔剣士,3,バランス,,木,,56,64,13,6,ドロップ変化・木,木の守り,0,,25 ,,700,400,108,1.0,1.0,1.0,,,,,,,,,,,
103,ドラゴンナイト,4,バランス,,木,,560,360,97,9,ドロップ変化・木,木の守り,0,,70 ,,1272,898,249,1.0,1.0,1.0,,,,,,,,,,,
104,光の魔剣士,3,バランス,,光,,54,61,14,6,ドロップ変化・光,光の守り,0,,25 ,,675,381,117,1.0,1.0,1.0,,,,,,,,,,,
105,ヴァーチェ,4,バランス,,光,,540,343,105,9,ドロップ変化・光,光の守り,0,,70 ,,1237,887,280,1.0,1.0,1.0,,,,,,,,,,,
106,タイタン,3,体力,,火,,77,92,1,7,攻撃態勢・火,根性,0,,25 ,,963,575,8,1.0,1.0,1.0,,,,,,,,,,,
107,ギガンテス,4,体力,,火,,770,518,7,10,攻撃態勢・火,根性,0,,70 ,,3150,1163,0,1.5,1.5,1.5,,,,,,,,,,,
108,闇の魔剣士,3,バランス,,闇,,55,65,12,6,ドロップ変化・闇,闇の守り,0,,25 ,,688,406,100,1.0,1.0,1.0,,,,,,,,,,,
109,ダークドラゴンナイト,4,バランス,,闇,,550,365,90,9,ドロップ変化・闇,闇の守り,0,,70 ,,1307,916,233,1.0,1.0,1.0,,,,,,,,,,,
110,ヴァンパイア,3,バランス,,闇,,61,61,15,6,攻撃態勢・闇,なし,0,,25 ,,763,381,125,1.0,1.0,1.0,,,,,,,,,,,
111,ヴァンパイアロード,4,バランス,,闇,,610,343,113,10,攻撃態勢・闇,暗黒の力,0,,70 ,,1725,999,319,1.5,1.5,1.5,,,,,,,,,,,
112,サラマンダー,4,ドラゴン,,火,,114,107,20,7,ファイアブレス,火の力,0,,35 ,,998,468,117,1.0,1.0,1.0,,,,,,,,,,,
113,イフリート,5,ドラゴン,,火,,798,421,105,13,マグマブレス,爆炎の力,3,,99 ,,2327,1238,220,1.5,1.5,1.5,火属性強化,スキルブースト,火属性強化,,,,,,,,
114,シーサーペント,4,ドラゴン,,水,,123,101,20,7,アイスブレス,水の力,0,,35 ,,1076,462,117,1.0,1.0,1.0,,,,,,,,,,,
115,リヴァイアサン,5,ドラゴン,,水,,861,416,105,13,ブリザードブレス,激流の力,3,,99 ,,2409,1205,231,1.5,1.5,1.5,水属性強化,スキルブースト,水属性強化,,,,,,,,
116,ドラゴネット,4,ドラゴン,,木,,111,119,18,7,アースブレス,木の力,0,,35 ,,971,501,105,1.0,1.0,1.0,,,,,,,,,,,
117,ファフニール,5,ドラゴン,,木,,777,451,95,13,ガイアブレス,大地の力,3,,99 ,,2360,1262,231,1.5,1.5,1.5,木属性強化,スキルブースト,木属性強化,,,,,,,,
118,白龍,4,ドラゴン,,光,,108,108,23,7,サンダーブレス,光の力,0,,35 ,,945,473,134,1.0,1.0,1.0,,,,,,,,,,,
119,神龍,5,ドラゴン,神,光,,756,426,121,13,ホーリーブレス,閃光の力,3,,99 ,,2277,1213,275,1.5,1.5,1.5,光属性強化,スキルブースト,光属性強化,,,,,,,,
120,バジリスク,4,ドラゴン,,闇,,116,116,14,7,カオスブレス,闇の力,0,,35 ,,1015,508,82,1.0,1.0,1.0,,,,,,,,,,,
121,ティアマット,5,ドラゴン,,闇,,812,457,74,13,ヘルブレス,暗黒の力,3,,99 ,,2310,1254,198,1.5,1.5,1.5,闇属性強化,スキルブースト,闇属性強化,,,,,,,,
122,ミネルヴァ,5,神,,火,,326,244,53,15,エナジーボム,炎の防壁,0,,50 ,,1575,900,192,1.5,1.5,1.5,,,,,,,,,,,
123,戦女神・ミネルヴァ,6,神,,火,,1260,810,173,20,クイックボム,炎の防壁,4,,99 ,,2869,1359,418,1.5,1.5,1.5,バインド耐性,お邪魔耐性,お邪魔耐性,バインド耐性,,,,,,,
124,ネプチューン,5,神,,水,,328,243,52,15,猛毒の霧,氷の防壁,0,,50 ,,1600,894,183,1.5,1.5,1.5,,,,,,,,,,,
125,海王神・ネプチューン,6,神,,水,,1280,805,165,20,ヒュドラの毒,氷の防壁,4,,99 ,,2902,1351,407,1.5,1.5,1.5,バインド耐性,毒耐性,毒耐性,バインド耐性,,,,,,,
126,セレス,5,神,,木,,311,220,68,15,完治の光,大樹の防壁,0,,50 ,,1388,750,317,1.5,1.5,1.5,,,,,,,,,,,
127,豊穣神・セレス,6,神,,木,,1110,675,285,20,完治の光,大樹の防壁,4,,99 ,,2374,1061,681,1.5,1.5,1.5,バインド回復,自動回復,バインド耐性,バインド耐性,,,,,,,
128,ヴィーナス,5,神,,光,,305,223,71,15,ワールド,光の防壁,0,,50 ,,1313,769,342,1.5,1.5,1.5,,,,,,,,,,,
129,慈愛神・ヴィーナス,6,神,,光,,1050,692,308,20,チェンジ・ザ・ワールド,光の防壁,4,,99 ,,2275,1086,625,1.5,1.5,1.5,2体攻撃,自動回復,スキルブースト,光属性強化,,,,,,,
130,ハーデス,5,神,,闇,,314,238,51,15,グラビティ,闇の防壁,0,,50 ,,1425,863,175,1.5,1.5,1.5,,,,,,,,,,,
131,冥界神・ハーデス,6,神,,闇,,1140,777,158,20,ギガグラビティ,闇の防壁,4,,99 ,,2671,1410,396,1.5,1.5,1.5,闇ドロップ強化,暗闇耐性,スキルブースト,闇属性強化,,,,,,,
132,カグツチ,5,神,,火,,354,246,60,15,エナジーボム,煉獄,0,,50 ,,1538,825,217,1.5,1.5,1.5,,,,,,,,,,,
133,ヒノカグツチ,6,神,,火,,1230,743,195,20,バーストボム,神の業火,4,,99 ,,2820,1460,451,1.5,1.5,1.5,2体攻撃,2体攻撃,火属性強化,スキルブースト,,,,,,,
134,オロチ,5,神,,水,,423,241,50,15,威圧,ド根性,0,,50 ,,1650,881,167,1.5,1.5,1.5,,,,,,,,,,,
135,ヤマタノオロチ,6,神,,水,,1320,793,150,20,威圧,ド根性,4,,99 ,,3090,1150,222,1.5,1.5,1.5,木ドロップ強化,2体攻撃,水属性強化,スキルブースト,,,,,,,
136,スサノオ,5,神,,木,,320,235,47,15,鉄壁の構え,鉄壁の心得,0,,50 ,,1500,844,142,1.5,1.5,1.5,,,,,,,,,,,
137,スサノオノミコト,6,神,,木,,1200,760,128,20,鉄壁の構え,鉄壁の心得,4,,99 ,,2970,1186,298,1.5,1.5,1.5,木ドロップ強化,2体攻撃,バインド耐性,バインド耐性,,,,,,,
138,アマテラス,5,神,,光,,317,226,64,15,完治の光,癒しの唄,0,,50 ,,1463,788,283,1.5,1.5,1.5,,,,,,,,,,,
139,アマテラスオオカミ,6,神,,光,,1170,709,255,20,完治の光,神の奇跡,4,,99 ,,2311,1111,652,1.5,1.5,1.5,バインド回復,バインド耐性,バインド耐性,スキルブースト,,,,,,,
140,ヨミ,5,神,,闇,,324,238,55,15,チェンジ・ザ・ワールド,クイックブースト,0,,50 ,,1350,806,192,1.5,1.5,1.5,,,,,,,,,,,
141,ツクヨミ,6,神,,闇,,1080,725,173,20,チェンジ・ザ・ワールド,神の一手,4,,99 ,,2772,1336,495,1.5,1.5,1.5,闇ドロップ強化,操作時間延長,操作時間延長,封印耐性,,,,,,,
142,炎龍・ムスプルヘイム,6,ドラゴン,,火,,495,330,52,25,マグマブレス,炎の防壁,2,,99 ,,3018,1408,142,1.5,1.5,1.5,火ドロップ強化,スキルブースト,,,,,,,,,
143,氷龍・ニブルヘイム,6,ドラゴン,,水,,510,322,53,25,ブリザードブレス,氷の防壁,2,,99 ,,3165,1332,153,1.5,1.5,1.5,水ドロップ強化,スキルブースト,,,,,,,,,
144,島龍・ユグドラシル,6,ドラゴン,,木,,518,319,55,25,ガイアブレス,大樹の防壁,2,,99 ,,3197,1307,175,1.5,1.5,1.5,木ドロップ強化,スキルブースト,,,,,,,,,
145,機龍・ヴァルハラ,6,ドラゴン,,光,,503,325,54,25,ホーリーブレス,光の防壁,2,,99 ,,3050,1356,164,1.5,1.5,1.5,光ドロップ強化,スキルブースト,,,,,,,,,
146,邪龍・ヘルヘイム,6,ドラゴン,,闇,,488,333,51,25,ヘルブレス,闇の防壁,2,,99 ,,3002,1322,131,1.5,1.5,1.5,闇ドロップ強化,スキルブースト,,,,,,,,,
147,炎の番人,4,進化用,,火,,1031,331,83,11,防御の構え,守りの心得,0,,1 ,,1031,331,83,1.0,1.0,1.0,,,,,,,,,,,
148,水の番人,4,進化用,,水,,1056,332,83,11,防御の構え,守りの心得,0,,1 ,,1056,332,83,1.0,1.0,1.0,,,,,,,,,,,
149,森の番人,4,進化用,,木,,1081,326,83,11,防御の構え,守りの心得,0,,1 ,,1081,326,83,1.0,1.0,1.0,,,,,,,,,,,
150,光の番人,4,進化用,,光,,1106,311,83,11,防御の構え,守りの心得,0,,1 ,,1106,311,83,1.0,1.0,1.0,,,,,,,,,,,
151,闇の番人,4,進化用,,闇,,1131,316,83,11,防御の構え,守りの心得,0,,1 ,,1131,316,83,1.0,1.0,1.0,,,,,,,,,,,
152,ドラゴンシード,2,進化用,,木,,10,10,10,1,なし,なし,0,,1 ,,10,10,10,1.0,1.0,1.0,,,,,,,,,,,
153,ドラゴンプラント,3,進化用,,木,,50,50,50,1,なし,なし,0,,1 ,,50,50,50,1.0,1.0,1.0,,,,,,,,,,,
154,ドラゴンフラワー,4,進化用,,木,,100,100,100,1,なし,なし,0,,1 ,,100,100,100,1.0,1.0,1.0,,,,,,,,,,,
155,ルビリット,2,進化用,,火,,10,5,80,1,なし,なし,0,,1 ,,10,5,80,1.0,1.0,1.0,,,,,,,,,,,
156,サファリット,2,進化用,,水,,10,5,80,1,なし,なし,0,,1 ,,10,5,80,1.0,1.0,1.0,,,,,,,,,,,
157,エメリット,2,進化用,,木,,10,5,80,1,なし,なし,0,,1 ,,10,5,80,1.0,1.0,1.0,,,,,,,,,,,
158,トパリット,2,進化用,,光,,10,5,80,1,なし,なし,0,,1 ,,10,5,80,1.0,1.0,1.0,,,,,,,,,,,
159,アメリット,2,進化用,,闇,,10,5,80,1,なし,なし,0,,1 ,,10,5,80,1.0,1.0,1.0,,,,,,,,,,,
160,ミスリット,5,進化用,,闇,,80,40,200,1,なし,なし,0,,1 ,,80,40,200,1.0,1.0,1.0,,,,,,,,,,,
161,進化の赤仮面,1,進化用,,火,,10,50,1,1,なし,なし,0,,1 ,,10,50,1,1.0,1.0,1.0,,,,,,,,,,,
162,進化の青仮面,1,進化用,,水,,10,50,1,1,なし,なし,0,,1 ,,10,50,1,1.0,1.0,1.0,,,,,,,,,,,
163,進化の緑仮面,1,進化用,,木,,10,50,1,1,なし,なし,0,,1 ,,10,50,1,1.0,1.0,1.0,,,,,,,,,,,
164,進化の黄仮面,1,進化用,,光,,10,50,1,1,なし,なし,0,,1 ,,10,50,1,1.0,1.0,1.0,,,,,,,,,,,
165,進化の紫仮面,1,進化用,,闇,,10,50,1,1,なし,なし,0,,1 ,,10,50,1,1.0,1.0,1.0,,,,,,,,,,,
166,朱色の鬼神面,3,進化用,,火,,20,100,1,1,なし,なし,0,,1 ,,20,100,1,1.0,1.0,1.0,,,,,,,,,,,
